	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	HKO16_RS00055	365.733322772233	0.583684586099533	0.197090965498971	2.96149843612481	0.00306146048236014	0.0063048899972436
2	HKO16_RS00255	837.704030991891	1.24819546478322	0.188875244272152	6.60857101518657	3.88047383313422e-11	2.24779149900747e-10
3	HKO16_RS00270	121.287838453631	0.924174181119381	0.226601155627293	4.07841777576561	4.53432329968553e-05	0.00012767071322365
4	HKO16_RS00275	102.489364182987	1.37869460698583	0.225511032259779	6.11364594082311	9.73802314743561e-10	4.78839456211617e-09
5	HKO16_RS00330	864.794018099665	1.00563004650568	0.253190503319145	3.97183161817917	7.13221274241924e-05	0.00019409992787005
6	HKO16_RS00365	50.6603578886832	2.80391583071324	0.497881832879773	5.63168937997849	1.78452875017984e-08	7.74675937723084e-08
7	HKO16_RS00435	2.71603173387184	4.39881964655684	1.37534498577709	3.1983391018592	0.00138221641028672	0.00306007143744361
8	HKO16_RS00470	1176.56141936236	0.39657501780088	0.110123697360112	3.60117783281516	0.00031677879597448	0.00078346745177563
9	HKO16_RS00475	1644.12216954124	0.835633045307223	0.131246264600028	6.36690916769179	1.92875316155176e-10	1.03698194404119e-09
10	HKO16_RS00485	2103.28024140019	1.73207271849136	0.166759443090844	10.3866544909711	2.85181233255875e-25	4.98667371422188e-24
11	HKO16_RS00520	361.480721663716	1.12012829154559	0.169363605445292	6.61374850045578	3.74708143205238e-11	2.17388817344806e-10
12	HKO16_RS00530	431.88984100026	0.482102582328953	0.110636882317563	4.35752140000803	1.3154364034354e-05	3.98249435409003e-05
13	HKO16_RS00535	313.431686962897	0.731334437687855	0.137725078883807	5.31010360360624	1.09562934659058e-07	4.33846033327191e-07
14	HKO16_RS00560	659.89256488826	0.709648155254059	0.11506480937003	6.16737783810119	6.94317147877276e-10	3.47809205804119e-09
15	HKO16_RS00650	56.9213695585777	2.06024331804937	0.300477831598393	6.85655679518818	7.05400438998775e-12	4.39202735895743e-11
16	HKO16_RS00655	38.8482904159424	1.69017099752492	0.348942944978715	4.84368869423057	1.27450567736475e-06	4.42411896539786e-06
17	HKO16_RS00705	94.9606084480806	2.87770352085593	0.418844425080768	6.87057854548503	6.39420450188262e-12	4.00118950602755e-11
18	HKO16_RS00785	803.59157644427	1.64065745706814	0.232510561100389	7.05627068853775	1.71030509037439e-12	1.13273657489929e-11
19	HKO16_RS00790	123.148669599145	2.1196374402663	0.356336483233982	5.94841544438344	2.70750689862185e-09	1.26961037777481e-08
20	HKO16_RS00815	359.181488936638	0.957625769839049	0.212879698205995	4.49843633709211	6.84550887250387e-06	2.16167883551979e-05
21	HKO16_RS00895	162.211204073423	2.04094450757642	0.26349894742861	7.74555089306144	9.5168324571551e-15	7.59317421208409e-14
22	HKO16_RS00900	84.5598100300823	1.2639168764685	0.342609624963722	3.68908747558488	0.00022505983354092	0.00056942116099401
23	HKO16_RS01170	107.883401317817	0.779851232812985	0.229970646561861	3.3910903172732	0.00069615155802213	0.00162305241751953
24	HKO16_RS01195	598.42498449365	1.02251262431899	0.130238791917279	7.8510604196055	4.12534146271066e-15	3.40773239590801e-14
25	HKO16_RS01210	72.8222582838334	1.98407610901936	0.226055260888948	8.77695171179434	1.67965075851908e-18	1.86506027845057e-17
26	HKO16_RS01230	431.667390391722	0.365407105144485	0.136130975809346	2.68423188015815	0.00726966667293436	0.0138720513463133
27	HKO16_RS01235	428.113949307828	0.488098984008068	0.142295678640335	3.43017432905874	0.00060319357721883	0.00141780801881462
28	HKO16_RS01295	1393.16110381664	0.877099809466202	0.179669183065466	4.88174874790083	1.05149176227631e-06	3.69107145819695e-06
29	HKO16_RS01315	5199.07964733539	2.99440123964321	0.107604235954001	27.8279122851936	1.99370881875948e-170	1.8651145999495e-167
30	HKO16_RS01320	3450.32924149365	3.05765684375361	0.110459550673017	27.6812355755901	1.17474039426619e-168	8.7917571106882e-166
31	HKO16_RS01340	56.6525489393552	0.627955632916946	0.2787171692042	2.25302099153024	0.0242578254413436	0.041619799542186
32	HKO16_RS01345	11.4589356355969	2.2234309986297	0.663107796494182	3.35304608147403	0.00079927398001187	0.00184736456652528
33	HKO16_RS01350	14.0794104412393	2.07533552317866	0.508792713865275	4.07894112203854	4.52412919763156e-05	0.00012747960434892
34	HKO16_RS01360	236.59316271761	0.420429280359335	0.160549046577812	2.61869683639366	0.00882663521307688	0.0165892862718903
35	HKO16_RS01470	2525.30034719995	0.994373437500148	0.173228554539782	5.7402397667169	9.45425989231232e-09	4.20663977610377e-08
36	HKO16_RS01480	261.212797174117	1.5683983780482	0.141437951319984	11.0889500548542	1.41943957479444e-28	2.9673423960228e-27
37	HKO16_RS01485	6343.69960980851	2.12916294358529	0.144695335825131	14.7148001104781	5.17990652836408e-49	2.93685003471794e-47
38	HKO16_RS01495	35028.5595497885	0.361626965315494	0.117742782914926	3.07133020269094	0.00213107333452469	0.00452837956717285
39	HKO16_RS01530	100.152153244446	0.620178747873848	0.237528485455237	2.61096578242074	0.00902869270629912	0.0169265371277411
40	HKO16_RS01620	15.8093208477717	1.62478861866524	0.47174251142468	3.44422768632473	0.00057269320612888	0.00135035789372041
41	HKO16_RS01625	569.426175450894	0.496611794882489	0.175524926630215	2.8292949862826	0.0046650678109717	0.00926084018496346
42	HKO16_RS01630	60.655107467512	0.976715144382176	0.27979643731665	3.49080622237092	0.00048156539332065	0.00115366050051592
43	HKO16_RS01650	191.980320601382	0.646785453179422	0.165401014076911	3.91040802735749	9.21403402119276e-05	0.00024769335709269
