	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	HKO16_RS00015	250.896249619685	0.603693089667415	0.189097067131718	3.19250371687101	0.00141045129459386	0.00305788455641381
2	HKO16_RS00045	616.619085042135	0.653894612181086	0.174403932084025	3.74931117875285	0.00017732094906549	0.00044257837052076
3	HKO16_RS00055	365.733322772233	1.41762716915883	0.19501544423443	7.26930718089526	3.61335885249259e-13	2.44506127052935e-12
4	HKO16_RS00225	75.6294686052968	0.875332844966883	0.242028556289048	3.61665110261409	0.00029843913348792	0.0007209549628869
5	HKO16_RS00255	837.704030991891	2.05685684321882	0.188200127485234	10.9290937827882	8.36799033851353e-28	1.54251329294175e-26
6	HKO16_RS00270	121.287838453631	1.16899746263574	0.22437332035929	5.21005554833264	1.88784101079469e-07	7.18647107059382e-07
7	HKO16_RS00275	102.489364182987	1.36450300221647	0.2239358903489	6.09327517840276	1.10623658680177e-09	5.3970499449964e-09
8	HKO16_RS00280	333.680665630276	0.460353157479626	0.122106588734304	3.77009268911216	0.00016318692950566	0.00040982918806052
9	HKO16_RS00315	87.3956265978174	0.665497879087764	0.254946730129552	2.61034090827362	0.00904520332220153	0.0169744989125768
10	HKO16_RS00320	12.1616574001699	1.71919731305461	0.488257574617972	3.52108682471493	0.00042978186711087	0.00101466482443462
11	HKO16_RS00330	864.794018099665	1.07206299477509	0.253003928897542	4.237337338778	2.26186172832935e-05	6.53077668781514e-05
12	HKO16_RS00365	50.6603578886832	3.26703650830756	0.49375713416262	6.61668719753943	3.67337627454833e-11	2.05775060170058e-10
13	HKO16_RS00435	2.71603173387184	4.3224764779148	1.37167081193473	3.15124914834192	0.00162573745719579	0.00348825089726298
14	HKO16_RS00455	727.137674103377	0.511151254781641	0.122669762950139	4.16688874657243	3.08785100799977e-05	8.74696326414469e-05
15	HKO16_RS00470	1176.56141936236	0.687678472576416	0.109584933857943	6.27530125142811	3.48957976142086e-10	1.78144713059166e-09
16	HKO16_RS00475	1644.12216954124	1.00800587579965	0.131013914817584	7.69388409775508	1.42734360938359e-14	1.11505632282117e-13
17	HKO16_RS00480	672.534221156565	0.354696365030866	0.105183071984535	3.37218107760741	0.00074575400010096	0.00170471073205731
18	HKO16_RS00485	2103.28024140019	2.40605863686452	0.16656956128617	14.4447678092329	2.70467201537223e-47	1.2975490617337e-45
19	HKO16_RS00520	361.480721663716	1.37784413032949	0.16848782216635	8.17770751982973	2.89294929273375e-16	2.55316421070983e-15
20	HKO16_RS00530	431.88984100026	0.845105730990879	0.108974096750847	7.75510654539384	8.82693361686823e-15	6.9684357793926e-14
21	HKO16_RS00535	313.431686962897	1.00050305558955	0.136098436692297	7.35131923558812	1.9626005368544e-13	1.37015880763231e-12
22	HKO16_RS00560	659.89256488826	0.826657247537937	0.114292287492008	7.23283491544207	4.73014267779184e-13	3.14950069400304e-12
23	HKO16_RS00650	56.9213695585777	2.23655044688836	0.297936264849875	7.50680837062689	6.05863147482646e-14	4.48938593639616e-13
24	HKO16_RS00655	38.8482904159424	1.39855732029234	0.349417858476824	4.00253532085881	6.26673086228487e-05	0.00017017494112242
25	HKO16_RS00660	101.655954879451	0.608844350593098	0.26774755726031	2.27394922599113	0.0229690394879071	0.039481004025608
26	HKO16_RS00690	133.033114136266	0.666640272922342	0.222610994278932	2.99464217875529	0.00274766965480665	0.00568368150817384
27	HKO16_RS00705	94.9606084480806	2.82984654201127	0.41720491650598	6.78286959250325	1.17811974869455e-11	6.89909874744135e-11
28	HKO16_RS00785	803.59157644427	1.8339856339042	0.231733654000811	7.91419632945407	2.4885533443407e-15	2.03322415164255e-14
29	HKO16_RS00790	123.148669599145	2.22643932996364	0.352460677372804	6.31684460961498	2.66957763424721e-10	1.37977341261783e-09
30	HKO16_RS00815	359.181488936638	0.904422006762551	0.212418293788782	4.25774066174291	2.06503305248796e-05	5.99949820062885e-05
31	HKO16_RS00895	162.211204073423	1.93548134242904	0.262823344157743	7.36419113999019	1.78224178378903e-13	1.25596021750255e-12
32	HKO16_RS00900	84.5598100300823	1.30916750628187	0.339612110260861	3.85489052577153	0.00011578142716866	0.00029920863291792
33	HKO16_RS01195	598.42498449365	1.0238077428575	0.129824225444218	7.88610707558123	3.11759137261411e-15	2.52511405115195e-14
34	HKO16_RS01210	72.8222582838334	1.68468609595905	0.226469584127467	7.43890665251911	1.01522028118414e-13	7.37661027609916e-13
35	HKO16_RS01235	428.113949307828	0.529881658293481	0.141651187344172	3.74074985341294	0.00018347205522852	0.00045564500761764
36	HKO16_RS01290	21.1541425989425	0.924163707702304	0.422121218867842	2.18933251017557	0.028572681074103	0.0480103154823949
37	HKO16_RS01295	1393.16110381664	1.03033245622195	0.179479954365536	5.74065477041259	9.43111811701913e-09	4.20133857070066e-08
38	HKO16_RS01315	5199.07964733539	3.15721965960077	0.107555599931067	29.3543029058854	2.10569452539055e-189	2.62650297133715e-186
39	HKO16_RS01320	3450.32924149365	3.01371881041843	0.110424408483012	27.2921435742359	5.25760986218069e-164	4.91849402607004e-161
40	HKO16_RS01345	11.4589356355969	2.80790730532091	0.654475202069873	4.29031886378658	1.78416759174008e-05	5.24870686186429e-05
41	HKO16_RS01350	14.0794104412393	2.57536608343864	0.499932816127901	5.1514243521469	2.5851549956716e-07	9.69303606593501e-07
42	HKO16_RS01360	236.59316271761	0.621012029456686	0.158789647453794	3.91091005877694	9.19490102078598e-05	0.00024196427299424
43	HKO16_RS01470	2525.30034719995	0.997830424071435	0.173183633023261	5.76169010115067	8.32757971058863e-09	3.72748843026587e-08
44	HKO16_RS01480	261.212797174117	1.62896509454283	0.140709711603387	11.5767780061574	5.40391491978692e-31	1.22554240180864e-29
45	HKO16_RS01485	6343.69960980851	2.23548929814558	0.144666643654656	15.4526934590538	7.23556093608666e-54	4.51257817047271e-52
46	HKO16_RS01495	35028.5595497885	0.329686796955538	0.117737512644663	2.80018483107034	0.00510733537511835	0.0100534713170399
47	HKO16_RS01530	100.152153244446	0.592875057859048	0.235613340451498	2.51630513248078	0.0118592460648663	0.021679188458588
48	HKO16_RS01620	15.8093208477717	1.62801355046527	0.468946212300591	3.4716423925858	0.00051728491476642	0.00120528029331007
49	HKO16_RS01625	569.426175450894	0.586759335549951	0.174925546386207	3.35433758917342	0.00079555239196883	0.00181080112575874
50	HKO16_RS01630	60.655107467512	0.9138988466467	0.278177239524154	3.28531136555242	0.00101869728762437	0.00227580014942709
51	HKO16_RS01650	191.980320601382	0.395441831349777	0.165467030991845	2.38985270346252	0.0168551311737477	0.0298610669652794
52	HKO16_RS01655	115.569653389872	1.72315073670314	0.178033079899215	9.67882338315226	3.70960552776639e-22	4.77022126628929e-21
53	HKO16_RS01665	162.837728632951	0.480724542520186	0.185679972986256	2.58899511233648	0.00962564606939554	0.0179467701004873
54	HKO16_RS01695	300.862725050227	0.584871059593226	0.141079136941966	4.14569490763058	3.38784676436841e-05	9.56057510729005e-05
55	HKO16_RS01700	184.892344906029	0.918877313297333	0.166815904911498	5.50833155738257	3.62250635734945e-08	1.51796403014576e-07
56	HKO16_RS19470	84.2123489277253	0.591637688536226	0.248909949361527	2.37691458318088	0.017458130325596	0.0308152470181038
57	HKO16_RS01715	31.8315547619948	0.717374855853249	0.30161416246077	2.37845215887883	0.0173854927591464	0.0307113973568826
58	HKO16_RS01745	767.207369233169	0.896418906370096	0.139488408909799	6.42647595865668	1.3059606492186e-10	6.98129249910857e-10
59	HKO16_RS01750	4273.55608698364	0.395289957155286	0.0965769764730848	4.09300406360775	4.25820255123826e-05	0.00011873467918579
60	HKO16_RS01760	2347.31049592265	0.667425966995149	0.153017009750668	4.36177630240376	1.29010739124896e-05	3.90265307845886e-05
