gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HKO16_RS00005,638.150047114135,-0.226904336049817,0.134315646587651,-1.68933658746708,0.0911549456444243,0.179056066457447
HKO16_RS00010,851.864985040921,-0.891314687545363,0.148037040566732,-6.02088966472938,1.7346097583052e-09,2.07876268406485e-08
HKO16_RS00015,250.896249619685,-0.427730297881604,0.19488968271663,-2.19473033112546,0.0281829476352,0.0686145673721003
HKO16_RS00020,3151.26099740923,0.10255601900638,0.12116196780559,0.846437383477754,0.397308791184409,0.545989532358449
HKO16_RS00025,743.47482069379,0.287522259118551,0.147281808657661,1.95219125660564,0.0509155018640632,0.111029025626646
HKO16_RS00030,25.887049151136,-0.553180882515848,0.332626149651874,-1.66307093743172,0.0962982366091086,0.186974370203449
HKO16_RS00035,247.347126270287,-0.817843831543606,0.178424039136814,-4.58370876200426,4.568003724398e-06,3.22518300692402e-05
HKO16_RS00040,19.9535172986939,0.285242390019838,0.40812342505683,0.698912075385329,0.484606980562255,0.632949152273633
HKO16_RS00045,616.619085042135,0.0124463522175405,0.176324408701818,0.070587800686112,0.943725819835013,0.96937195109048
HKO16_RS00050,26.4810278358993,1.27706170359921,0.401262428569246,3.18260971542425,0.0014595420648928,0.00558738064625181
HKO16_RS00055,365.733322772233,0.259844457085235,0.198923718165295,1.30625176063379,0.191466955882953,0.315486283097318
HKO16_RS00060,101.500135677287,0.19058430639745,0.214187166078905,0.889802642644054,0.373571867361388,0.52325638378525
HKO16_RS00065,347.875693079709,-0.0912311955696561,0.179465746528273,-0.508348792649876,0.611208757538583,0.736362901065479
HKO16_RS00070,586.5996021481,-0.395972896689135,0.20070840514029,-1.97287650416214,0.0485096341469398,0.106465132538328
HKO16_RS00100,72.936559390936,-0.267784760922947,0.219545664381806,-1.21972238293556,0.222570133548755,0.355921982794632
HKO16_RS00105,139.191724320923,0.222307230655167,0.211537383198073,1.05091226569164,0.293298886445907,0.437533741593389
HKO16_RS00110,275.80784540196,0.722765115317458,0.189925255306245,3.80552398969814,0.000141504297438553,0.000721402017731697
HKO16_RS00115,222.680715174085,0.71744249660429,0.27805844028002,2.58018600651642,0.00987471110531601,0.028935919307825
HKO16_RS00120,448.917005402017,-0.36023247772274,0.124457988106187,-2.89441026007419,0.00379871475776512,0.0127601352096563
HKO16_RS00125,167.531090221191,-0.534771054819899,0.201556757429724,-2.65320330431668,0.00797318313641628,0.0240610091100562
HKO16_RS00130,1091.92623514069,-0.240641253536351,0.0799771127801711,-3.00887647942217,0.00262215699741557,0.00931824452452904
HKO16_RS00135,210.935540652809,0.230229521704756,0.169940875911893,1.3547624752983,0.175493245714943,0.296610535440523
HKO16_RS00140,25.4323957213178,-0.295734041950932,0.365113113078921,-0.809979240288224,0.417952107234468,0.567069175225301
HKO16_RS00145,44.7038396925972,-0.470336428192511,0.309329931700196,-1.520500863293,0.128385141940986,0.232534947310343
HKO16_RS00150,177.014536282319,-0.519098895080327,0.221541612153725,-2.34312141197262,0.019123158980168,0.0502520090616494
HKO16_RS00155,2848.43000775524,0.300772468499344,0.197695674053428,1.52139124914822,0.128161683566735,0.232494225403379
HKO16_RS00160,40.817481418603,0.708307978311268,0.327380038248289,2.16356495680436,0.0304977534385665,0.0728287130613374
HKO16_RS00165,72.6132584274478,-0.81809226345953,0.231732784121444,-3.53032595953619,0.000415047980582027,0.00188484167880818
HKO16_RS00170,184.98253608947,-0.351041938483474,0.171711827872614,-2.04436667428582,0.0409173369846195,0.0926381898109589
HKO16_RS00175,41.4156749519048,-0.738168973508199,0.307650312264104,-2.39937664316269,0.01642301230958,0.043990631397601
HKO16_RS00180,1163.01581905025,0.447367341793432,0.143063992764924,3.12704359180388,0.00176573744243718,0.00657451692497506
HKO16_RS00185,2.7489820518947,-1.13223187445625,1.11700602369838,-1.0136309477611,0.310758884686074,0.454952952462945
HKO16_RS00190,421.367218880901,0.815620027382258,0.154655541035835,5.27378470838799,1.33638670634036e-07,1.25963704159336e-06
HKO16_RS00195,277.018373471004,0.696089189552357,0.178609560802834,3.89726723711484,9.72842497559025e-05,0.000517098952537766
HKO16_RS00200,68.5197866267511,-0.260900487552886,0.26249691691482,-0.993918292905316,0.320262647761894,0.465768685551887
HKO16_RS00205,67.3798529578349,-0.444612710056633,0.229844882770694,-1.93440334497332,0.053063555518204,0.11477677731163
HKO16_RS00210,44.5496936116638,-0.227943287101936,0.339352062825137,-0.671701492556985,0.50177375099608,0.647461164216322
HKO16_RS00215,5.82873698068148,-3.4366845908605,1.16946342963115,-2.93868495908799,0.00329607924462992,0.0113051590590331
HKO16_RS00220,0.625223904071653,1.78218155071439,2.40182159666923,0.742012459703861,0.458079786541785,0.607849135191262
HKO16_RS00225,75.6294686052968,0.332566445695301,0.252351030689522,1.3178723494277,0.187546383302125,0.311633466392785
HKO16_RS00230,258.827263644848,0.26270361530818,0.171041138722787,1.53590894722675,0.124560713445135,0.227923406000922
HKO16_RS00235,120.743529461947,-0.207079391563372,0.201904019159416,-1.02563283497526,0.305064684226597,0.449784101014944
HKO16_RS00240,24.430822712599,-0.615447514076387,0.342615491714204,-1.79632132510157,0.0724434282207442,0.14935719471186
HKO16_RS00245,32.7972334092024,-0.0257083186153171,0.378996160223328,-0.0678326624738577,0.945918842739281,0.970026941499148
HKO16_RS00250,80.4980242441286,-0.432046006699708,0.243747692407617,-1.77251321820599,0.0763094030828611,0.155528206065396
HKO16_RS00255,837.704030991891,0.633531081900767,0.189906431910059,3.33601698230426,0.000849879720058246,0.0034605548557758
