gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HKO16_RS00005,638.150047114135,0.184887033841443,0.133152574729639,1.38853517640833,0.16497414102093,0.263400785648196
HKO16_RS00010,851.864985040921,-0.75550091277577,0.147521709321238,-5.12128632627636,3.03458462370376e-07,1.74698702490761e-06
HKO16_RS00015,250.896249619685,-0.503828331444935,0.194818945818485,-2.58613621651745,0.00970585647924887,0.0237847511102484
HKO16_RS00020,3151.26099740923,0.427186696932502,0.12096264723906,3.53155876365907,0.000413118059674732,0.00141824566908518
HKO16_RS00025,743.47482069379,0.0681694522147811,0.147503248925454,0.462155598004712,0.643969742159518,0.747900302657019
HKO16_RS00030,25.887049151136,-1.43958222979846,0.354557299022414,-4.06022449338282,4.90255555372937e-05,0.000201449959054672
HKO16_RS00035,247.347126270287,-1.15626887380514,0.179859889995362,-6.4287200099753,1.28682901955384e-10,1.11465606277094e-09
HKO16_RS00040,19.9535172986939,0.118611938697815,0.41082161420802,0.288718837071107,0.772796546408825,0.847042963287002
HKO16_RS00045,616.619085042135,-0.0823765491370613,0.176337951404852,-0.467151560289673,0.640391447263989,0.744900464924416
HKO16_RS00050,26.4810278358993,1.05740017847609,0.403903423382153,2.61795299881781,0.00884589884176907,0.0219214261363575
HKO16_RS00055,365.733322772233,-0.482127655705584,0.202164010801648,-2.38483424321563,0.0170868182358416,0.038517393878626
HKO16_RS00060,101.500135677287,0.736192828806107,0.209397639441135,3.51576469902403,0.000438489415016307,0.00149710528375093
HKO16_RS00065,347.875693079709,0.107466357876501,0.178638169632908,0.601586761089966,0.547449243513593,0.670022238310924
HKO16_RS00070,586.5996021481,-0.923430140323579,0.201562602403359,-4.58135650816636,4.61969531386973e-06,2.29269228972155e-05
HKO16_RS00100,72.936559390936,-0.870367083976349,0.225768439026141,-3.85513177896212,0.000115667306608731,0.000440312371647885
HKO16_RS00105,139.191724320923,0.118213116574617,0.211629444044083,0.55858539490371,0.576444709881138,0.693587171824829
HKO16_RS00110,275.80784540196,0.535355677048904,0.190202250323962,2.81466531619399,0.00488280563611018,0.0130884374572524
HKO16_RS00115,222.680715174085,1.03179549967525,0.277268604097011,3.72128500821625,0.000198211576074873,0.000728593042899974
HKO16_RS00120,448.917005402017,-0.290045649241488,0.123885127659819,-2.34124672364172,0.0192194614438193,0.0425557542738294
HKO16_RS00125,167.531090221191,-0.200446456799391,0.198747165197953,-1.00855001680022,0.313190488862573,0.436158842323687
HKO16_RS00130,1091.92623514069,-0.218903086780778,0.0797483550658595,-2.74492290906814,0.00605251137657962,0.0158270423278553
HKO16_RS00135,210.935540652809,0.573058149799123,0.167933958563395,3.41240184356634,0.000643931125439661,0.00211553140596594
HKO16_RS00140,25.4323957213178,0.147174163479627,0.349882652037457,0.420638641620536,0.674018972402696,0.770889953721844
HKO16_RS00145,44.7038396925972,0.126098657579215,0.298568852459307,0.422343645495979,0.672774205184102,0.770355286352175
HKO16_RS00150,177.014536282319,-0.69292423382908,0.221941782105413,-3.12209908046954,0.00179566494798848,0.00538843483189486
HKO16_RS00155,2848.43000775524,-0.0502921352566102,0.197763107537928,-0.25430494030321,0.799259983429085,0.866154317402732
HKO16_RS00160,40.817481418603,0.710528870425997,0.326399489707598,2.176868815152,0.029490356783194,0.0620308685119234
HKO16_RS00165,72.6132584274478,-0.974545624335774,0.23264407479717,-4.1889982591881,2.80188549072953e-05,0.000120374919705051
HKO16_RS00170,184.98253608947,-0.507885680305271,0.172088589984222,-2.95130363001892,0.00316435684534952,0.00891643321935082
HKO16_RS00175,41.4156749519048,-0.518665032890712,0.300373347867728,-1.72673453411423,0.0842153505218708,0.149836200639009
HKO16_RS00180,1163.01581905025,0.433041840011161,0.142978293680099,3.02872435294306,0.00245588649617534,0.00708552603599702
HKO16_RS00185,2.7489820518947,-2.13885118350202,1.26073243930113,-1.69651475350922,0.0897884385539823,0.158112158620707
HKO16_RS00190,421.367218880901,0.614638911892007,0.154915434033659,3.96757699273825,7.2607059235253e-05,0.000286598750694427
HKO16_RS00195,277.018373471004,0.282810867113194,0.179545267334298,1.57515077569059,0.11522164617872,0.193550428827037
HKO16_RS00200,68.5197866267511,-0.756845319561133,0.269206777377882,-2.81139028865815,0.00493279101718639,0.0132129591884835
HKO16_RS00205,67.3798529578349,-0.422839282990175,0.22766164916758,-1.85731450394145,0.0632664221003354,0.118312319589933
HKO16_RS00210,44.5496936116638,-0.244978654471028,0.33807184764073,-0.724634885101015,0.468676051600245,0.593625281331168
HKO16_RS00215,5.82873698068148,-1.37595266147982,0.809232008821347,-1.70031912539384,0.0890709149001347,0.157210704572663
HKO16_RS00220,0.625223904071653,-0.325989722752595,2.4709386297947,-0.131929510033877,0.895040047004257,0.930554683000526
HKO16_RS00225,75.6294686052968,0.0870204486121608,0.254678432989778,0.341687545311909,0.732586046000767,0.815466910994366
HKO16_RS00230,258.827263644848,0.272700336701426,0.170706453608643,1.59748111999685,0.110158502890565,0.187540089998404
HKO16_RS00235,120.743529461947,-0.312919565384834,0.202048869356388,-1.54873207844031,0.121446139157827,0.202608761804989
HKO16_RS00240,24.430822712599,-0.641239759596899,0.341295432595565,-1.87884072962901,0.0602662438143057,0.114069946562029
HKO16_RS00245,32.7972334092024,-0.682823341908336,0.38798062006189,-1.75994188008518,0.0784176614687807,0.141757917495738
HKO16_RS00250,80.4980242441286,-0.384081338306617,0.242201242255922,-1.58579425410534,0.112785989553246,0.191263064852086
HKO16_RS00255,837.704030991891,0.334001964778315,0.190269499780878,1.75541516198321,0.0791883204855746,0.142874973605121
